Category,Article
society,정부가 가습기살균제 피해자와 유족의 의견을 듣기 위해 지역별 간담회를 연다. 환경부는 내달 17일~4월 3일 전국 7개 권역에서 가습기 살균제 피해 문제의 근본..
society,27일 서울 마포구 서강대학교 후문에서 `자유민주주의를 수호하는 애국 서강인들` 주최 탄핵 반대 집회가 열리고 있다. 이슬기기자 9904sul@dt.co.kr
society,27일 서울 마포구 서강대학교 정문에서 `윤석열 탄핵! 계엄 정당화 규탄! 민주주의 지키는 서강대 대응행동` 주최 탄핵 찬성 집회가 열리고 있다. 이슬기기자 99..
society,27일 서울 마포구 서강대학교 후문에서 `자유민주주의를 수호하는 애국 서강인들` 주최 탄핵 반대 집회가 열리고 있다. 이슬기기자 9904sul@dt.co.kr
international,"트럼프 高관세 부과, 美경제에 빨간불… 값싼 수입 중국산, 공식통계보다 많아"
international,한 러시아 어부가 낚시를 하다 외계인 머리처럼 생긴 해양생물을 발견해 화제다. 26일(현지시간) 뉴욕포스트와 데일리메일 보도에 따르면 러시아인 어부 로만 페..
international,"1960년대부터 40년 넘게 개성 만점의 연기를 펼친 할리우드 배우 진 해크먼이 26일(현지시간) 부인과 함께 자택에서 숨진 채 발견됐다. 로이터통신, 버라이어티.."
international,`피는 물보다 진하다`는 말보다는 `먼 사촌보다 가까운 이웃이 낫다`는 속담이 더 진실에 가깝다는 게 드러났다.중국 베이징의 한 마을에서 12년간 독거노인을..
international,글로벌 가상화폐 시장이 다시 얼어붙고 있다. 이번 달 들어서만 시가총액 1200조원가량이 증발한 것으로 나타났다.27일(현지시간) 가상화폐 가격정보 사이트 코..
international,도널드 트럼프 미국 대통령이 주재한 각료회의에서 일론 머스크의 위상이 재확인됐다. 트럼프 대통령은 26일(현지시간) 백악관 재입성 이후 처음 개최한 각료 회..
international,"[속보] 美 엔비디아 분기 실적, 시장 예상치 상회"
international,총재산 프랑스 GDP 육박전 세계에 500억달러 이상 `슈퍼 억만장자`가  24명에 달하는 것으로 조사됐다. 상당수는 `자수성가형` 빅테크 거물들이 대다수다. 미국..
international,"""500만달러(약 71억원)를 내면 미국 영주권을 주겠다.""도널드 트럼프 미국 대통령은 25일(현지시간) 이같은 내용의 영주권 정책을 시행하겠다고 밝혔다.트럼프.."
international,도널드 트럼프 미국 대통령의 최측근으로 꼽히는 일론 머스크 테슬라 최고경영자(CEO)의 캐나다 시민권을 박탈해야 한다는 서명자가 24만명을 넘었다. 25일(현지..
international,우크라이나 종전 변수로 여겨지는 미국과 우크라이나 간 광물협상이 합의점에 도달함에 따라 빠르면 오는 28일 양측이 서명할 수 있다는 외신의 보도가 나왔다...
international,만 3년을 지나가는 우크라이나 전쟁에서 심각한 부상을 당한 군인들이 재활을 거쳐 전선으로 복귀하는 사례가 늘어나고 있다.미국 일간 뉴욕타임스(NYT)는 23일(..
international,"서경덕 성신여대 교수가 중국의 한 틱토커가 광주에서 전두환 전 대통령 흉내를 내며 찍은 영상이 논란이 된 데 대해 ""정말로 기가 찰 노릇""이라고 비판했다.서.."
sports,"[오늘의 DT인] ""하나다움이란 DNA로 성장… 밸류업 드라이브 통해 4조 클럽 도전장"""
sports,"△ 서진건(향년 86세)씨 별세, 서봉한(울산과학대학교 교수)씨 부친상 = 27일 오후 4시, 울산영락원 장례식장, 발인 3월 1일 오전, 장지 울산광역시 중구 다운동 선영. (052)272-1111 △ 문창수(전 전남지사)씨 별세, 문인상(항공우.."
sports,김범수 카카오 경영쇄신위원장의 누적 기부액이 1000억원을 넘어섰다.27일 공익법인 브라이언임팩트 홈페이지를 확인하면 김 위원장의 총 기부액은 1010억원이다..
sports,제1회 `우석 동행문화상` 시상식이 지난 26일 서울 서초구 국립국악원에서 개최됐다. 이 상은 국가를 위해 봉직하다 세상을 떠난 고인을 기리기 위해 제정됐다...
sports,"[부고] 송영규(한국경제TV 대외사업팀장)씨 부친상▲ 송병준(향년 83세)씨 별세, 이금자씨 남편상, 송영규(한국경제TV 대외사업팀장)·송범규씨 부친상, 김선화씨 시부상 = 27일 오전 10시30분, 이대서울병원 장례식장 특2호실. 발.."
sports,"[부고] 이심기(한국경제신문 편집국장)씨 모친상▲ 김용실(향년 89세)씨 별세, 이수정(KOTRA 마닐라 무역관장)·이심기(한국경제신문 편집국장)·이성희·이경희·이신희·이정희씨 모친상, 박영기(광명화학 대표)·박일(사업)·박.."
sports,"한국광고주협회는 27일 서울 중구 더플라자호텔에서 정기총회를 열고 제15대 회장으로 노승만(사진) 현 부회장을 선임했다.노 신임 회장은 삼성전자, 삼성 미래.."
sports,"△ 남태우씨 별세, 남길남(자본시장연구원 선임연구위원)·남수정씨 부친상, 최미란씨 시부상 = 25일, 이대목동병원장례식장 특2호, 발인 27일 오전 10시, 장지 서울시립승화원·춘천공원 (02)2650-5121 △이필영 씨 별세, 이정윤(.."
sports,"△ 김길만(향년 85세)씨 별세, 문종례씨 남편상, 김하용(케이피에스 대표이사)·김성용(봄안경 대표)씨 부친상, 김은주·이용아씨 시부상 = 24일 오후 2시5분, 분당서울대병원 장례식장 8호실, 발인 26일 오전 7시, 장지 분당메모리.."
sports,"박춘화 꾸까 대표그의 이름도, 그가 몸 담은 업종도, 그를 만나기 전 그렸던 예상과 맞은 것이 하나도 없었다. 낯설음을 숨기지 못하고 서울 종로구 `테라스 꾸.."
sports,"△ 최형윤(전 전남대 사범대 교수)씨 별세, 조봉애(다리아)씨 남편상, 최우석(SK스토아 사업지원본부장)·원종씨 부친상, 최정화(하나은행 마케팅부장)·이준희씨 시부상 = 23일, 광주 빛장례식장 501호, 발인 25일 오전 9시 30분,.."
sports,"△최형윤(전 전남대 사범대 교수)씨 별세, 조봉애(다리아)씨 남편상, 최우석(SK스토아 사업지원본부장)·원종씨 부친상, 최정화(하나은행 마케팅부장)·이준희씨 시부상 = 23일, 광주 빛장례식장 501호, 발인 25일 오전 9시 30분,.."
sports,"[부고] 엄재동(대한항공 부사장)씨 부친상▲ 엄진섭 씨 별세, 엄재홍(영진아이앤디 부사장)·엄재동(대한항공 부사장)·엄성용 씨 부친상 = 23일 오전, 서울 아산병원 장례식장 34호, 발인 25일 오전 9시40분. ☎ 02-3010-2000"
politics,각종 청탁·편법 채용… 선관위 채용비리 적발
politics,"""명태균은 이제 민주당 사람이다. 자신이 살기 위해선 이재명 대통령으로 만들어야 한다는 정치적 판단을 내린 사람이다.""권성동 국민의힘 원내대표가 27일 더불.."
politics,반도체 기업의 공장 증설 등 투자에 세제 혜택을 강화하는 이른바 `K칩스법`(조세특례제한법 개정안)이 27일 국회 본회의를 통과했다. 개정안이 시행되면 반도체..
politics,"권성동 국민의힘 원내대표는 27일 이날 본회의에 상정된 명태균 특검법에 대해 ""당론으로 이 특검법에 대해 반대한다""고 밝혔다.권 원내대표는 이날 국회에서 열.."
politics,더불어민주당은 27일 주요 기업 통상 책임자 및 경제단체 관계자들과 만나 미국 트럼프 2기 행정부의 통상 정책에 따른 대응 방안을 논의했다.민주당 경제안보특..
politics,"우원식 국회의장은 27일 이날 본회의에서 상법개정안을 상정하지 않은 것에 대해 ""이 안건은 교섭단체 간 이견이 크다""며 ""국회의장이 최대한 교섭할 시간을 주.."
politics,"27일 마은혁 헌법재판관 후보자를 임명하지 않은 것은 위법한 행위라는 헌법재판소의 결정이 나왔지만, 최상목 대통령 권한대행 부총리 겸 기획재정부 장관은 마.."
politics,"조국혁신당은 27일 국회에 `조세개혁 특별위원회` 설치를 제안했다.차규근 조국혁신당 정책위의장은 이날 국회에서 기자회견을 열고 ""오늘 혁신당은 `사회권 선.."
politics,"박찬대 더불어민주당 원내대표는 27일 ""법치 헌정을 부정하는 극우 정당이 아니라면 명태균 특검법을 반대할 이유가 없다""며 ""최상목 대통령 권한대행은 명태균.."
politics,"[속보] `의사 정원, 복지장관 직속 추계위 심의` 국회 소위 통과"
politics,"12·3 비상계엄 사태로 인한 윤석열 대통령 탄핵심판 변론절차가 마무리된 가운데, 대통령 파면이 예상된다는 유권자가 3명 중 2명꼴인 것으로 나타났다. 자신의.."
politics,"尹탄핵 소추위원으로 최후진술 때 다수결만 앞세운 鄭…羅 ""의회주의 부정""21대·22대 국회 민주당의 의장·법사위원장 독식, 법안 강행처리 등 관행부정 비판"".."
economy,`추락 사망` 발생 건설사 다시 공개한다
economy,26일 국고채 금리는 전날 한국은행이 기준금리를 인하한 가운데 미국 국채 금리가 급락한 영향으로 일제히 하락했다.이날 서울 채권시장에서 3년 만기 국고채 금..
economy,최상목 대통령 권한대행 부총리 겸 기획재정부 장관은 25일 2조2000억원 규모의 현대로템의 모로코 전동차 공급 수주와 관련해 모로코 모하메드 6세 국왕에 서한..
economy,한국동서발전은 에너지산업 대전환기 함께성장을 위한 업의전환 지원사업 전략로드맵을 마련한다고 26일 밝혔다.업의전환 지원사업 전략로드맵은 석탄설비 기자..
economy,소공인의 안전 환경개선과 에너지효율 향상을 위해 관련 컨설팅과 전문가의 진단을 바탕으로 장비 교체·개보수 등을 지원하는 `클린제조환경 조성 사업`. 상시..
economy,정부가 전기차 보급 확대를 위해 전기차 충전시설 지원 예산을 지난해보다 43% 증액해 추진한다. 또한 충전기 설치사업자의 유지보수 의무를 강화하고 이를 어길..
economy,"다음 달부터 면세점에서 주류를 구매할 때 병수제한이 사라진다. 정부는 그동안 면세점에서 구매하는 주류를 최대 2병으로 제한해 왔는데, 이제는 2L에 400달러.."
economy,유명 생활용품점 다이소가 건강기능식품(건기식) 시장에 진출하자 시중 약국들이 긴장하고 있다. 다이소를 운영하는 아성다이소는 지난 24일부터 전국 200여개..
economy,"주형환 저출산고령사회위원회 부위원장은 26일 ""올해 합계출산율은 0.79명 내외가 될 것으로 예상한다""며 ""결혼이 꾸준히 늘며 2030년 1명대 달성하겠다는 다짐.."
economy,최상목 대통령 권한대행 부총리 겸 기획재정부 장관이 바이오산업 육성을 위한 인프라와 연구개발(R&D) 혁신을 강조했다.최 권한대행은 26일 오송 첨단의료복합..
economy,"국내 여성기업들이 전년보다 부채는 줄고, 매출액은 늘어난 것으로 나타났다. 반면, 수익은 소폭 감소했다.중소벤처기업부가 26일 발표한 `2024 여성기업 실태조.."
economy,40년 이상 축적된 자체 기술과 노하우를 바탕으로 펌프 관련 파트너사와 공동으로 기술 개발에 대한 협업체계를 구축해 펌프 관련 소재부품장비의 전문기업으로..
economy,"내달 열리는 모바일 월드 콩그레스(Mobile World Congress, MWC)에서 통합한국관이 역대 최대 규모로 운영된다. 통합한국관은 9개 기관과 147개사로 구성된다.산.."
society,27일 서울 마포구 서강대학교 정문에서 `윤석열 탄핵! 계엄 정당화 규탄! 민주주의 지키는 서강대 대응행동` 주최 탄핵 찬성 집회가 열리고 있다.이슬기기자 990..
society,27일 서울 마포구 서강대학교 정문에서 `윤석열 탄핵! 계엄 정당화 규탄! 민주주의 지키는 서강대 대응행동` 주최 탄핵 찬성 집회가 열리고 있다. 이슬기기자 99..
society,27일 서울 마포구 서강대학교 후문에서 `자유민주주의를 수호하는 애국 서강인들` 주최 탄핵 반대 집회가 열리고 있다. 이슬기기자 9904sul@dt.co.kr
society,[속보] 김포공항 외곽 화재로 연기 다량 발생…시커먼 연기에 뒤덮인 활주로
society,27일 오후 2시 14분 경기도 성남시 수정구 소재 5층짜리 복합건축물 4층 고시원에서 화재가 발생했다.소방당국은 인명피해 우려가 있다고 보고 선제적으로 대응..
society,국내 ISMS-P 배출 1위 교육기관 라이지움이 2025년 7월 필기시험을 대비하여 정규 과정을 모집한다. 이번 과정은 4월 12일(토)에 개강하는 토요반과 4월 15일(화..
society,"어린이집, 학교, 학원, 체육시설 등 아동관련기관을 운영하거나, 취업한 아동학대관련범죄 전력자 33명이 적발됐다. 취업제한명령 위반자는 최근 5년 사이 가장.."
society,"“트럼프 귀환과 한국생존전략, 2025년 경제전망”“한국 기업하기 좋은 나라 만들자”세종대학교는 ""김대종 경영학부 교수가 2월 25일 충남 아산시 마들렌에서.."
society,"수사 과정서 급발진 주장재판부 ""운전자 과실 단정 어려워""횡단보도를 덮쳐 보행자 3명을 숨지게 하고 급발진을 주장했던 택시 기사가 1심 재판부로부터 무죄를.."
society,경기주택도시공사(GH)는 27일 본격적인 3기 신도시 공공주택 공급을 계기로 공공주택 혁신을 위한 전략과 목표를 담은 `GH 공공주택 레벨업(Level Up) 혁신 로드..
society,평택시(시장 정장선)는 27일 언론브리핑을 통해 도시미관 및 시민들의 보행환경 개선을 위한 `통복시장로 퇴폐 주점 골목 집결지 일원 간판 개선사업`이 완료됐..
society,"환절기가 되면서 활동량이 줄어들고, 수분 섭취가 부족해 변비를 겪는 사람들이 늘어나고 있다. 특히, 겨울철에는 신체 움직임이 감소하면서 장의 운동 기능이.."
international,"트럼프 高관세 부과, 美경제에 빨간불… 값싼 수입 중국산, 공식통계보다 많아"
international,블라디미르 푸틴 러시아 대통령이 연일 대미 유화적 발언을 쏟아내고 있다. 도널드 트럼프 미국 대통령의 군사비 50% 삭감 제안을 좋은 제안이라고 한 데 이어..
international,도널드 트럼프 미국 대통령과 에마뉘엘 마크롱 프랑스 대통령이 24일(현지시간) 미국 워싱턴 백악관에서 정상회담을 갖고 우크라이나전쟁 종전을 협의했다. 러..
international,"뉴욕증시에서 기술주 투매가 지속됐다. 나스닥이 1.21% 하락 마감했다. 테슬가 주가는 2.15%, 엔비디아는 3.09% 떨어졌다. 다우지수는 지난 2거래일간 몰아친 투.."
international,"""앞으로 4년 동안 미국에 5000억달러(약 714조원) 이상을 지출·투자할 계획입니다.""애플은 24일(현지시간) 성명을 통해 이같이 파격적인 투자를 약속했다. 미국.."
international,23일(현지시간) 치러진 독일 연방의회 총선거에서 중도보수 기독민주당(CDU)·기독사회당(CSU) 연합이 올라프 숄츠 총리의 사회민주당(SPD)을 큰 폭으로 따돌리..
international,23일(현지시간) 치러진 독일 연방의회 총선거에서 중도보수 기독민주당(CDU)·기독사회당(CSU) 연합이 집권당인 올라프 숄츠 총리의 사회민주당(SPD)을 큰 폭으..
international,연합뉴스는 최근 중국에서 전문 사진사를 고용해 부부의 이혼 과정을 기록하는 문화가 유행이 되고 있다고 봉면신문 등 중화권 매체들이 24일 전했다.상하이의..
international,지난해 동성 연인과 결혼한 것으로 알려진 샘 올트먼(39) 오픈AI 최고경영자(CEO)가 아들을 얻었다고 공개했다.24일 연합뉴스에 따르면 올트먼은 지난 22일(현지..
international,"미국 도널드 트럼프 행정부의 관세 정책을 총괄하는 하워드 러트닉 상무부 장관이 최근 한국 기업인들과 면담에서 대미 투자를 종용하며, 10억달러(약 1조4000억.."
international,도널드 트럼프 미국 대통령이 그간 미국이 우크라이나에 제공한 1800억 달러 이상의 군사적 재정적 지원에 대한 대가로 우크라이나에 요구해온 광물 협정의 타결..
international,미국 정부효율부(DOGE) 수장이자 테슬라 최고경영자(CEO)인 일론 머스크(53)의 13번째 자녀를 출산했다고 주장한 여성이 머스크를 상대로 친자 확인 및 양육권..
international,일본에서 태어나 파친코로 사업을 키운 성종태(91) 알라딘홀딩스 회장이 재일교포를 상대로 장학금을 지원하는 한국교육재단에 보유 신한지주 주식 약 5만주를..
sports,"[오늘의 DT인] ""하나다움이란 DNA로 성장… 밸류업 드라이브 통해 4조 클럽 도전장"""
sports,"△ 진병국씨 별세, 진현권(KPI뉴스 경기본부 취재국장)·상권씨 부친상, 권정인씨 시부상 = 20일 오후 2시 17분, 경북 구미차병원 장례식장 특2호실, 발인 22일 오전 7시, 장지 구미시추모공원 승조당. (054)450-9700 △ 안봉훈(향.."
sports,"△ 유춘원(향년 95세)씨 별세, 구본일(BTN불교TV 대표이사)·구본상·구본흥씨 모친상 = 19일 오전 10시, 서울아산병원 장례식장 23호실, 발인 21일 오전 7시. (02)3010-2000 △ 조용욱씨 별세, 조현제(저스티스어드벤처 대표이사).."
sports,"△ 부명순씨 별세, 배현택씨 부인상, 배상균(SK브로드밴드)·배상무(시지에이스정비 대표)·배수진(동구청)씨 모친상, 정학영(대구 서부경찰서 민원실장)씨 장모상 = 17일, 대구파티마병원 장례식장 특실 201호실, 발인 20일 오전 9.."
sports,"최승재 세종대 법학과 교수인공지능(AI) 기술이 빠르게 발전하면서 뉴스 콘텐츠 생산과 소비 방식이 변화하고 있다. AI는 정보를 학습해 기사 요약, 자동 생성,.."
sports,"△김종구씨 별세, 김수정·김일수·김수옥씨 부친상, 소성수씨 장인상=17일, 부산 보훈병원장례식장 203호실, 발인 20일 오전 6시, 장지 국립 대전현충원, 051)601-6785"
sports,"△ 이세화씨 별세, 이희완(국가보훈부 차관)씨 부친상 = 17일, 경북 김천 제일병원 장례식장 특 2호실, 발인 19일, 장지 경북 김천 구성면 선산. (054)433-9444 △ 송호언씨 별세, 송기영(인천시 강화군 공보협력담당관)씨 부친상 =.."
sports,"[부고] 오남석(문화일보 디지털콘텐츠부장)씨 장인상▲ 박경래씨 별세, 조남임씨 남편상, 박원재(아이에스컨설팅 대표)·수미·영미씨 부친상, 박소현씨 시부상, 김태균·오남석(문화일보 디지털콘텐츠부장)씨 장인상 = 15일, 서울.."
sports,"△ 박종식씨 별세, 김기동(청주시의원)씨 모친상 = 14일 오후 3시, 청주참사랑병원 장례식장 무궁화 2호. 발인 16일 오전 7시. (043)298-9200 △박종수씨 별세, 박철·광철·춘화·춘애·미라·주미·향미씨 부친상, 안태욱(국민의.."
sports,"△ 류노선(전 코트라 코펜하겐무역관장·향년 89세)씨 별세, 류영규씨 부친상 = 13일 오후 5시, 분당서울대병원 장례식장 2호실, 발인 15일 오전 8시30분, 장지 이천 에덴낙원. (031)787-1502 △ 최현기씨 별세, 최승호(전남 장성군.."
sports,"△ 정덕봉씨 별세, 정한민(프로축구 FC서울 선수)씨 부친상 = 12일, 경기도 의정부시 천보로 271 의정부성모장례식장 2호실, 발인 14일 오전 4시 30분, 장지 성남영생원. (031)820-3468 △ 송춘자씨 별세, 조개동(대신육가공 대표이.."
sports,"[부고] 김호영(참컴 소장·전 한경닷컴 뉴스국장)씨 모친상▲신태희씨 별세, 김윤영·김선임·김호영(참컴 소장·전 한경닷컴 뉴스국장) 모친상 = 12일 원주의료원 장례식장, 발인 14일 오전 8시. ☎ 033-760-4644"
sports,"△ 홍순진(향년 85세)씨 별세, 신인숙씨 남편상, 홍정표(한화생명보험 커뮤니케이션실 부사장)·홍준표(딜 대표)·홍현정(에이치투에이 건축연구소 대표)씨 부친상, 홍숙경씨 시부상 = 11일 오전 11시40분, 서울아산병원 장례식장 2.."
politics,각종 청탁·편법 채용… 선관위 채용비리 적발
politics,"국민의힘 정당 지지도가 37%, 더불어민주당 정당 지지도가 34%라는 여론조사 결과가 27일 나왔다. 차기 대통령 적합도는 이재명 민주당 대표 31%, 김문수 고용노.."
politics,"계엄사태 등 회고록 출간으로 정치를 재개한 한동훈 전 국민의힘 대표를 향해 친윤(親윤석열)계 지도부에서 ""빨리 피는 꽃은 빨리 시든다""며 `훈계`에 가까운 반.."
politics,"더불어민주당은 27일 우원식 국회의장이 이날 본회의에서 상법 개정안을 상정하지 않기로 하자 ""국민의힘의 몽니에 편을 들어주는 것이라고 생각한다""며 ""매우.."
politics,"권영세 국민의힘 비상대책위원장이 27일 ""더 이상의 비극을 막기 위해서라도 근본적인 제도 변화를 추진해야 한다""며 개헌론에 힘을 실었다.권 위원장은 이날 국.."
politics,"더불어민주당은 27일 반도체 특별법을 패스트트랙(신속처리안건)으로 지정하기로 했다고 밝혔다.진성준 정책위의장은 이날 국회에서 열린 정책조정회의에서 ""반.."
politics,"[속보] `마은혁 재판관 지위 부여` 청구 각하…""권한쟁의 대상 아냐"""
politics,"[속보] 野 ""반도체특별법 패스트트랙 지정""…52시간 예외 제외될듯"
politics,"""87년 헌법 만들 때 1인 독재 거대야당 출현 상상이나 했겠나""권영세 국민의힘 비상대책위원장은 27일 ""윤석열 대통령이 임기까지 내던지며 스스로 희생하겠다는.."
politics,"佛관광객, 4박5일 나선특구 방문""김일성 부자 동상에 헌화해야""""식사 때마다 제공받은 맥주, 예상보다 맛있더라.""코로나19 사태 이후 해외 관광객 방문을 금지했.."
politics,더불어민주당 등 야당은 27일 본회의에서 `명태균 특검법`과 주주에 대한 이사의 충실 의무 등을 골자로 하는 상법 개정안 처리를 시도한다.민주당 등 야당은 전..
politics,더불어민주당 등 야당은 27일 본회의에서 `명태균 특검법`과 주주에 대한 이사의 충실 의무 등을 골자로 하는 상법 개정안 처리를 시도한다. 전날 법제사법위원..
politics,검찰이 공직선거법 위반 혐의로 기소된 더불어민주당 이재명 대표의 항소심에서 징역 2년을 구형했다. 1심 구형과 같다. 항소심 선고는 다음 달 26일 오후 2시로..
economy,`추락 사망` 발생 건설사 다시 공개한다
economy,아시아 최대 드론 전문 전시회·컨퍼언스인 `2025 드론쇼코리아`가 부산 벡스코서 열린다. 올해로 10주년을 맞은 행사에는 15개국에서 총 306개사가 참여한다.산..
economy,한국중부발전은 해빙기 지반의 동결·융해 현상 반복으로 인한 건설현장 및 사업소 노후 건축물의 붕괴 위험을 예방하기 위해 취약시설 안전점검을 시행한다고 2..
economy,"통계청, 2024년 인구동향 조사결혼·자녀 낳는 가치관 변화 영향고령 산모 1987년 이후 첫 감소지난해 합계출산율이 2015년 이후 9년 만에 반등했다. 코로나 팬.."
economy,"전력거래소는 임직원의 가족 친화와 일·가정 양립을 위한 직장어린이집인 `반디꿈어린이집`을 설립하고, 이를 기념하는 개원식을 지난 25일 열었다.개원식에는.."
economy,중소벤처기업부는 5월 동행축제에 참여할 우수 중소기업·소상공인 100곳을 공개 모집한다.동행축제는 중소기업·소상공인의 매출과 판매를 돕기 위해 정부와 지..
